Al,Ap,cost,Xtau,XN,Ztau,ZN,xx,yy,zz,fev
4.479799877110929,1.2170100147821679,0.007864645895383271,2.8499999999999996,10.0,0.890625,10.0,-0.020463856724950817,-0.01317382424074056,-0.9842707082092356,44174
0.3850845536807111,0.8104522388421257,0.005345377168072596,3.7649999999999997,25.0,1.1765625,1.0,-0.00836993517861454,-0.002990473012029562,-0.9893092456638681,64217
3.8427268045454457,1.2505967376356153,0.006992248240548893,1.69,25.0,0.105625,4.0,-0.019341442497754643,0.012151004304559154,-0.9860155035188861,49987
4.890480698275888,1.295585659278052,0.0021831500167847073,3.9499999999999997,10.0,1.234375,19.0,-0.015177974487286021,0.025156872023635892,-0.9956336999664259,69089
0.4045102513844728,1.0713248345299782,0.007827120435652035,3.745,7.0,1.1703125,1.0,-0.011466342197942996,-0.004628974639068747,-0.984345759128703,76452
0.38651482836423856,0.4037324306583612,0.008155365691522198,0.54,13.0,0.135,1.0,-0.01773063625487422,-0.0005604554379072292,-0.9836892686169632,70831
3.7340169631959714,1.1966595154898687,0.007053550762117,1.71,25.0,0.106875,4.0,-0.02054807315841753,0.010829090977135754,-0.9858928984757858,54509
1.2363384654193197,1.4821544357778027,0.008654447513974817,3.2699999999999996,7.0,1.22625,10.0,-0.006672402544627236,-0.0007170086026573701,-0.9826911049720479,77014
1.8449120965916455,0.8013532169861851,0.0038439574148232403,3.0199999999999996,10.0,0.3775,22.0,-0.01235241048098033,0.012099714519949772,-0.9923120851703592,60813
1.2361829315110489,0.315062280939019,0.009390491313954419,0.47,22.0,0.17625000000000002,1.0,-0.012986612877372884,-0.001195207656717393,-0.9812190173721141,64781
4.422624375495563,0.883212391782176,0.003184874290103279,2.87,13.0,0.35875,1.0,-0.019839127433369234,0.0043715313524070355,-0.993630251419806,45635
0.3647507955180643,0.5998757433967264,0.0026927617656761216,0.56025,10.0,0.03375,13.0,-0.027565452975109483,0.00012394536280805474,-0.9946144764686411,74542
1.4875166430057716,1.8792278306946912,0.008614761129983273,1.3399999999999999,7.0,0.08375,7.0,0.000549220883120918,0.07211629093674504,-0.9827704777400151,72755
4.314446463748019,1.3416437201010118,0.006996834245142747,2.8949999999999996,25.0,0.1809375,4.0,-0.023529881395206696,0.010743426212304112,-0.9860063315097379,48033
1.5236721253436354,0.9200132974660427,0.007431061279408513,0.466875,10.0,0.084375,4.0,-0.03939173712663442,0.00022758844452936203,-0.9851378774411839,84437
2.9182849588356725,1.103467336164778,0.008750672550835503,4.13,25.0,0.51625,22.0,-0.030522531594173626,0.014846116099648695,-0.982498654898423,46937
1.35091144123237,1.558709559002244,0.005872630072802254,1.375,7.0,0.2578125,4.0,-0.01360899567953924,0.04607983642319262,-0.9882547398543959,80927
2.0850095343585937,0.7634418528179725,0.003411948650579144,2.925,10.0,0.9140625000000001,1.0,-0.006095089125327081,-0.04007999570119996,-0.9931761026988499,62886
4.030850629720167,0.8358581150085009,0.001130183174570254,1.6600000000000001,13.0,0.10375000000000001,7.0,-0.013487700504097564,0.007619515434620412,-0.9977396336508736,46614
2.6825861517907996,1.4009515318442194,0.008026783544727523,0.3994375,10.0,0.0721875,4.0,-0.05437758663584467,-0.00016754502846213007,-0.9839464329105437,90887
4.53156686970787,1.1607880054931212,0.004070703838582546,2.835,10.0,0.5315624999999999,25.0,-0.030410309277731563,0.026669379161283913,-0.9918585923228205,41478
