Al,Ap,Xtau,XN,Ztau,ZN,fun,xx,yy,zz,fev,11
2.687958762703809,0.9468281911057934,2.6950781088280684,15.0,1.7837557913259183,15.0,0.0295561641254591,0.053115641017024,0.4646632028762881,0.9965458505044236,2932,shgo1
4.186027526498537,0.738598619505988,2.943674129116909,17.0,2.348274338099929,13.0,0.018479817715546,0.0200233526392123,0.035912051317911,0.9994191305781408,3188,shgo1
2.959233509885693,0.9271751003528902,4.108505693682105,9.0,2.670844351600292,13.0,0.0434086183120818,0.1996415240210716,0.4292236755403076,0.9911039061894626,2456,shgo1
3.586462202983356,0.565443867341657,1.7400226031105053,17.0,1.0005226031105054,1.0,0.0191048402802795,0.0099061240074815,0.0022358822891835,0.9958385319971634,1017,shgo1
0.8841171305539639,0.9841564981430916,1.4710030721834535,7.0,0.8918890296895109,15.0,0.0286169113081182,0.0866648697084184,0.3015280098435005,0.995812080979083,7934,shgo1
1.8013625066396677,1.0010488938491475,0.4454728370734364,15.0,0.2381371496177431,11.0,0.0422794322684907,0.0413371119532463,0.0007382254449102,0.9969573253089272,2480,shgo1
1.1238270230882996,0.8119340242837727,0.4918081850232152,15.0,0.2629828881954201,11.0,0.0364972110817887,0.0355834509804416,0.0005068710503882,0.997683965154599,2505,shgo1
1.080145069587909,1.2055134464454833,1.423755147713747,7.0,0.8635335225424801,15.0,0.0161161677824221,0.0799037914402445,0.3649049534490845,0.9990105623122268,3922,shgo1
1.4164039117665976,0.5172417305944637,4.122969436908361,13.0,3.004492578280527,9.0,0.0213266623205523,0.0301848866347737,0.1175099837685529,0.9993269866761406,1461,shgo1
3.661778283259008,1.2672679566688514,1.7142955721127189,9.0,1.0453780481847192,1.0,0.0349335045568592,0.0621067252719518,0.0328072411235731,0.996009292255382,1216,shgo1
4.141772692505768,1.449992585801932,1.626722523944801,9.0,1.0014374999999995,1.0,0.0326768485709388,0.0429305421768295,0.0098864420096833,0.9963618533465364,1349,shgo1
1.018081376268352,0.8384905215892976,0.4994349652105249,15.0,0.3255004834410929,3.0,0.037696442882588,0.0366208635806741,0.0004971569003964,0.9975184268148168,2218,shgo1
2.359721421316999,0.4154484340373456,2.825,17.0,2.048125,9.0,0.0434261206279694,0.0148919205631045,0.3454922761662126,0.9739883205340534,1829,shgo1
4.954156546670049,0.7892308080729143,3.929511384328015,17.0,2.556099205518908,13.0,0.0136780875640399,0.0144007239244667,0.0388845219580198,0.9994351335872952,2903,shgo1
4.186257800263262,0.6558357919736768,2.94015371830955,17.0,2.13165371830955,9.0,0.028293907985507,0.0186024649426249,0.0337595562806732,0.9983597011525738,2683,shgo1
2.201980608895381,0.4765245821683566,2.8788307312660937,17.0,1.8708307312660932,9.0,0.0210860388173698,0.0903554110435767,0.4005549098086978,0.9992411268626424,3390,shgo1
4.918943397336089,0.928094809397002,3.944521850416565,13.0,2.5637718504165656,17.0,0.0237887914405154,0.0189883447658015,0.0471795220605111,0.9915215856717328,2026,shgo1
3.353434054764332,1.7471399589149568,3.191632243575635,9.0,2.3298240218011346,9.0,0.0124726278762884,0.0589001552804737,0.114766112493185,0.9993210582799132,5964,shgo1
1.684949393386437,0.9321761426646517,0.4530003976113971,15.0,0.3023018221382332,3.0,0.0399076341393022,0.0389282344403877,0.0006260216222949,0.9972547910728556,2291,shgo1
4.881923507249243,1.5452867905400245,2.7407672023455896,9.0,1.972260814595718,5.0,0.0373559315445667,0.0693621121634016,0.041738973970016,0.9979488050159332,2807,shgo1
3.747901818489696,1.0964407343132032,1.7029681962302743,9.0,1.2495922873470244,9.0,0.0255199488787518,0.0285862801877072,0.2264755536734501,0.9974225831529494,1352,shgo1
2.4613761859961705,1.0238152824236448,2.791053762727376,9.0,2.1612436858996684,1.0,0.0325022860095515,0.1283042941301759,0.4867569559484299,0.9982354291860682,2098,shgo1
2.4767653391584536,0.5960094046103542,2.7809211269358447,13.0,2.0180886086379184,9.0,0.036028620013922,0.09178561827005,0.451472745166516,0.9878504203612616,2378,shgo1
1.441661952999809,1.6389073054592542,1.3424692709180368,7.0,0.7401352853515307,11.0,0.0285935286408559,0.165304379864331,0.3997723525239194,0.9905058177349184,7877,shgo1
2.17882639535504,1.8285825368242257,3.6621928360110503,9.0,2.5265625000000003,1.0,0.0149684860708935,0.0814207014568382,0.2077617490247537,0.9980029872960914,2367,shgo1
2.81123445302188,1.556784459709897,4.938915048410611,13.0,3.8357441465957183,1.0,0.0241543144610919,0.1025972750659357,0.0233621098602972,0.9974844218713396,1437,shgo1
2.9318347108638614,0.512664879023736,4.13,17.0,2.6845,13.0,0.0324328564633471,0.1746351187101295,0.2941395652732468,0.9854647532952348,2269,shgo1
1.2176539182883837,0.4753803020590014,0.4668290646317318,15.0,0.3150777541708339,15.0,0.0201082008432703,0.019687867774584,0.000157904772213,0.9992511406352278,1495,shgo1
1.2139436565523245,0.7127212768524962,0.4619039771453309,11.0,0.3179464667477196,15.0,0.0314199247973952,0.0315462422567087,0.0003905625634205,0.9982314097946572,2261,shgo1
2.314191944569828,0.9781918173696952,2.845572010671125,9.0,2.189850173742173,1.0,0.0239278199731502,0.0320551373009757,0.4659902788124826,0.9990870272230578,3003,shgo1
4.169583337958644,1.1327435031567306,2.945627332658458,9.0,2.3440497177706856,9.0,0.046741418214244,0.0321437447264204,0.0581708573261571,0.98595881681138,2996,shgo1
1.102823450522903,0.9556385906510044,4.326302606558059,11.0,2.452479516876292,11.0,0.0487578558826047,0.0865233185038738,0.191256383597376,0.9950452813114572,2039,shgo1
1.017792388192662,0.8628902603905321,0.4991604755343115,15.0,0.2593537788301939,15.0,0.0388052821141662,0.037810783273363,0.0005195513022986,0.99738659223744,2224,shgo1
2.7147528333402864,0.5486684881823322,4.24,17.0,2.438,9.0,0.0301724164224551,0.1609766636325824,0.3178979560018641,0.9888471043331032,2025,shgo1
4.241733689744116,1.283787044016371,1.6142903539647664,9.0,1.1861510319153556,9.0,0.0169717320816706,0.0210235498242283,0.0238067100679991,0.999380975096315,1506,shgo1
0.425261354101459,0.7144581701974173,1.5911196959679776,7.0,0.9624202810103653,15.0,0.0366277634694486,0.0972115492819461,0.151346458111283,0.995250347430568,3213,shgo1
1.190737288322825,1.1422017534843592,1.4049655170162072,9.0,1.0376618108574875,5.0,0.0137164829991071,0.1642092900569323,0.404388055918612,0.9983432373066042,6495,shgo1
4.974606895158333,0.8050911326539028,3.925205776472072,17.0,3.140000000000001,9.0,0.0391264768566342,0.0163846610589701,0.0406234989985546,0.9975397407426504,2089,shgo1
2.803925867216821,1.190578439991553,1.8930403350645968,9.0,1.142071072145346,1.0,0.0486284756412167,0.1071371499769914,0.0075135689063732,0.9948726912694282,2612,shgo1
3.229344812330717,0.9785387730381164,1.805924929611466,9.0,1.3240819346012374,9.0,0.0446654892859035,0.0361436630344403,0.013874571353636,0.9871887963112266,1444,shgo1
2.4071912367792327,0.5623710786381726,2.8068016938959173,13.0,2.034665303300827,9.0,0.0415985645821175,0.0233488229586963,0.4414413749031169,0.9821655733030334,2332,shgo1
0.3355199731517124,0.4509470939701951,0.5401366773067685,11.0,0.3591360559288236,15.0,0.0211538297689642,0.0206964345962907,9.172217292808746e-05,0.9991046309255064,1820,shgo1
3.24740540326982,0.8898709876710729,3.969083755594893,13.0,2.2963549006702384,9.0,0.0047163743163057,0.1887737804055846,0.4238512903316525,0.9999434348533344,2405,shgo1
1.6955147153320016,1.1759187953480463,3.0865062438765367,13.0,2.439951591841266,9.0,0.0174990434957327,0.102236150477775,0.3829067498692894,0.9995832739908728,8919,shgo1
3.2872934867443786,1.2149360258513442,1.787989798966142,9.0,1.0887409102135597,1.0,0.0439191779522367,0.080385327018768,0.0130306069218779,0.994648330373093,1255,shgo1
4.137265260325779,1.3604689748807628,1.6291612886593916,9.0,0.9898761292818956,1.0,0.0229515722710482,0.0278646403027923,0.0126706344618688,0.9976938896561044,1574,shgo1
4.400329333872688,1.4993395592194283,4.130368021786014,9.0,3.012087064728555,9.0,0.0333311112459884,0.0483870255883742,0.0567993535892487,0.9971919056776688,9038,shgo1
0.3492631900368639,0.6245646103327532,0.558052249121522,15.0,0.2984940138071518,11.0,0.0297673125416308,0.0286800016225302,0.0001816545307586,0.9984144417222902,2516,shgo1
3.7976471292664287,0.5961578250991313,1.7005818125570007,17.0,0.9781029392861896,17.0,0.0163664286526664,0.0089629495000387,0.0009735916418916,0.9987163605089964,1067,shgo1
3.636775549758033,0.5595274602260173,1.7303906094855144,17.0,0.995135281791802,1.0,0.0226999941734114,0.0131934859266789,0.0021481612255255,0.9914701105963944,1009,shgo1
2.1576581677997213,0.6565498496548077,2.8905897625079104,13.0,1.903325563808481,5.0,0.0172625647760631,0.0859354791845171,0.4756189756658067,0.9994432097503714,3230,shgo1
3.017693172546006,0.8010755827868463,4.0788148926498815,13.0,2.357934741874324,9.0,0.0167485335420884,0.1498384116624809,0.4225125341173766,0.999346271676572,2668,shgo1
1.1672903776233603,0.5758619792258344,0.4676254926449574,13.0,0.3208307102770703,9.0,0.0251059421474043,0.0249731431226125,0.0002999860755392,0.9988385314823152,1900,shgo1
4.06206210917818,0.762549941748784,1.6521144501358749,13.0,1.2069417319717213,9.0,0.0330811800887019,0.0199927780632885,0.1291186218518713,0.9837973571378692,1322,shgo1
4.608975058875242,1.5438639186211944,1.5522450854283696,9.0,0.9013168423147376,9.0,0.0164911071827941,0.0221190529833631,0.084885027112311,0.9984525252050848,1632,shgo1
3.7617000232724,0.6506016206632488,1.7073115177145668,17.0,1.303875,1.0,0.0287516884764325,0.0180803363809143,0.1892435460065589,0.9975534369362086,1513,shgo1
2.5662927885956925,0.7486078078001441,2.754597209087589,13.0,2.146031097511652,1.0,0.0256696234647732,0.0379117984763986,0.4255295223512553,0.9988306297147892,1725,shgo1
2.7268113539250973,1.5190789882400595,4.990963107910646,13.0,3.8597504580755215,1.0,0.0403662670683189,0.0854173841700488,0.0292951259811425,0.9965722578638556,1804,shgo1
1.6276989858279045,0.5710550707231217,3.997492234513154,13.0,2.916791125222556,9.0,0.0151959572652742,0.0196374358589066,0.1189447697458651,0.9994238440988328,2122,shgo1
3.813776826222244,1.1862395488813129,1.6885391647976695,9.0,1.2424438361536612,9.0,0.0208315951291134,0.0326372208071166,0.0056529693497278,0.9993280058293004,1429,shgo1
1.710434722394525,0.507377700948181,3.9621738568488896,13.0,3.168,13.0,0.0302177241804502,0.0128852577222185,0.1021983592232929,0.983902338265289,2038,shgo1
3.924558225406214,0.8591577480666748,1.672725768948596,13.0,0.9692028426224948,9.0,0.0141059139216571,0.0298583808473812,0.0116489626761445,0.99963413933891,1333,shgo1
2.114270154512481,1.0863810828716374,0.4269387567039204,15.0,0.2828812361487951,3.0,0.0444507458805446,0.0432455612488884,0.0007760346140286,0.9966423118622708,2093,shgo1
3.4166058832743684,0.7936269540955019,1.768884955984455,13.0,1.301003584948975,9.0,0.0185075977579344,0.038562514453014,0.1318483263117191,0.9993430933643768,1540,shgo1
3.1879386850934104,1.006063293928952,1.8137695505689688,9.0,1.3309745082275106,9.0,0.0376672134110736,0.038575102817289,0.1013313986949243,0.9947025179142944,1494,shgo1
1.528741072482934,0.6781952654179126,4.053057406967625,9.0,2.950492810876141,9.0,0.0456798743669412,0.0273053269277057,0.1451145054077594,0.9827841784055088,1674,shgo1
1.0309767361947348,0.5751889477735996,0.4811649987644502,11.0,0.3210090485884129,15.0,0.0252795830013093,0.0253462593044961,0.0002898580036288,0.9988063103339012,1916,shgo1
2.717260641825932,0.7186643621693763,1.9230141171334745,13.0,1.1085810268858765,9.0,0.0369460495724827,0.0285630134639596,0.0037509572293013,0.994574375438848,1502,shgo1
1.06989432828068,0.4137146386323662,0.4813733569028261,15.0,0.3171907633545718,15.0,0.018176485936756,0.0170436752370412,0.0001011069730381,0.9993393491830992,1599,shgo1
3.3894672380569952,0.720035895930082,1.77660119741145,13.0,1.3017282243228208,9.0,0.024314498798337,0.0245945975290085,0.0056786933497307,0.997599094095518,1554,shgo1
2.0358062088955555,0.4237316619718935,2.942162209646253,17.0,2.353162209646253,5.0,0.0442369386167041,0.0583707381944596,0.4086561131165857,0.9695247497822904,2321,shgo1
0.9800037253649686,0.6533849688563739,0.4792570666944402,11.0,0.359821503873674,11.0,0.0292730080476296,0.0292419295102114,0.0003479014053667,0.9984473194612168,2150,shgo1
1.4629681166147828,0.4071855569749105,4.09838421719114,17.0,3.277826831123973,5.0,0.0157365363551986,0.0326138428958541,0.0779414110792097,0.9982629308222288,1873,shgo1
4.327267204478964,0.699622312316517,2.8999999999999995,17.0,1.45,13.0,0.0153996237895113,0.0572992589897197,0.0232422194439131,0.9971914772777368,2824,shgo1
